Item ID,Name,Purchase Link,Image_url,Image_file,Date Last Purchased,Category,Vendor,Makerspace_quantity,Backroom_quantity,Location,Alert
MaskingTape_Colored,"Masking Tape Set, 1 Inch x 60 Yards, Assorted Colors","Creativity Street Masking Tape Set, 1 Inch x 60 Yards, Assorted Colors, Set of 8",https://images.schoolspecialty.com/images/1319021_ecommthumbnail.jpg,,3/22/2023,TP,DOE,8,0,,0
MaskingTape_HalfIn,"Masking Tape, 0.50 Inch x 60 Yards, Tan","3M Value Masking Tape, 0.50 Inch x 60 Yards, Tan",https://images.schoolspecialty.com/images/1461988_ecommthumbnail.jpg,,10/31/2022,TP,DOE,0,0,,0
Misc_1,Table Cover Roll,"Empress Table Cover Roll, White Poly, 300 ft L X 40 in W",https://www.schoolspecialty.com/wcsstore/SSIB2BStorefrontAssetStore/images/products/1310426.jpg,,11/30/2022,MISC,DOE,0,0,,0
Misc_2,Toothpicks,"Creativity Street Flat Wood Toothpick, Pack of 2500",https://images.schoolspecialty.com/images/085950_ecommthumbnail.jpg,,12/30/2022,MISC,DOE,1,0,,0
Misc_3,ArtBin Brush Drying Rack - Black,ArtBin Brush Drying Rack - Black,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.dickblick.com%2Fproducts%2Fartbin-brush-drying-rack%2F&psig=AOvVaw1cc5mxm-zbeHcc_IpLnj8q&ust=1682601075101000&source=images&cd=vfe&ved=0CA0QjRxqFwoTCKDQjc7Px_4CFQAAAAAdAAAAABAD,,3/22/2023,MISC,BLICK,2,0,,0
Misc_4,Bob Ross Brush Cleaning Bucket and Screen,,,,3/22/2023,MISC,BLICK,0,0,,0
MiscArt_1,Roylco Big Box of Art and Craft Material,Roylco Big Box of Art and Craft Material,https://www.schoolspecialty.com/wcsstore/SSIB2BStorefrontAssetStore/images/products/309726.jpg,,12/30/2022,MISC,DOE,0,0,,0
ModPodge_1,Mod Podge Gallon,"Mod Podge Fast Dry Non-Toxic Non-Flammable Tissue Glue and Glaze, 1 gal Jar, Gloss",https://images.schoolspecialty.com/images/408589_ecommthumbnail.jpg,,11/30/2022,GL,DOE,1,0,,0
Mosaic_Tiles_1,"Glass Square Mosaic Tile, 7/16 X 7/16 X 3/16 in, Assorted Color, 3 lb Bag, Pack of 950","School Specialty Glass Square Mosaic Tile, 7/16 X 7/16 X 3/16 in, Assorted Color",https://images.schoolspecialty.com/images/248323_ecommthumbnail.jpg,,3/22/2023,CS,DOE,1,0,,0
Mosaic_Tiles_2,"Diamond Tech Stained Glass Square Mosaic Tile Assortment, 3/4 Inch, Pack of 450","Diamond Tech Stained Glass Square Mosaic Tile Assortment, 3/4 Inch, Pack of 450",https://images.schoolspecialty.com/images/248237_ecommthumbnail.jpg,,3/22/2023,CS,DOE,4,0,,0
Needles_1,"Embroidery and Crewel Needle Assortment, Size 3 to 9","Colonial Embroidery and Crewel Needle Assortment, Size 3 to 9, Pack of 16",https://images.schoolspecialty.com/images/431933_A_ecommthumbnail.jpg,,12/30/2022,SE,DOE,0,0,,0
Paint_Black,"Chromacryl Acrylic Paint Set, 0.5 gal Jug, Black","Chromacryl Premium Students Acrylic Paint Set, 0.5 gal Jug, Assorted Original Colors, Set of 6",https://images.schoolspecialty.com/images/439385_ecommthumbnail.jpg,,3/22/2023,PT,DOE,8,0,,0
Paint_Black2,"Acrylic Essential, 0.5 gal Jug, Black","Chroma Acrylic Essential, 0.5 gal Jug, Black",https://www.schoolspecialty.com/wcsstore/SSIB2BStorefrontAssetStore/images/products/424806.jpg,,12/30/2022,PT,DOE,0,0,,0
Paint_Bronze,"Metal Acrylic Paint Set, 8 oz Bottle, Aged Bronze","Chroma Molten Metal Acrylic Paint Set, 8 oz Bottle, Assorted Color, Set of 4",https://images.schoolspecialty.com/images/406873_ecommthumbnail.jpg,,3/22/2023,PT,DOE,29,0,,0
Paint_BurntUmber,"Acrylic Paint, 1/2 Gallon, Burnt Umber","Sax True Flow Heavy Body Acrylic Paint, 1/2 Gallon, Burnt Umber",https://images.schoolspecialty.com/images/1572445_ecommthumbnail.jpg,,3/22/2023,PT,DOE,3,0,,0
Paint_CoolBlue,"Chromacryl Acrylic Paint Set, 0.5 gal Jug, Cool Blue","Chromacryl Premium Students Acrylic Paint Set, 0.5 gal Jug, Assorted Original Colors, Set of 6",https://images.schoolspecialty.com/images/439385_ecommthumbnail.jpg,,3/22/2023,PT,DOE,11,0,,0
Paint_CoolYellow,"Chromacryl Acrylic Paint Set, 0.5 gal Jug, Cool Yellow","Chromacryl Premium Students Acrylic Paint Set, 0.5 gal Jug, Assorted Original Colors, Set of 6",https://images.schoolspecialty.com/images/439385_ecommthumbnail.jpg,,3/22/2023,PT,DOE,11,0,,0
